SEND,"Sendgrid, Inc.",892,amc,0,--,600.00%,--
SEMG,Semgroup Corpor...,"2,176",bmo,0.03,--,372.73%,--
GPL,Great Panther S...,204,--,0.01,--,100.00%,--
APPF,"Appfolio, Inc.","1,388",--,0.09,--,44.44%,--
CRK,Comstock Resour...,130,bmo,-0.98,--,25.76%,--
EXEL,"Exelixis, Inc.","8,941",--,0.12,--,21.98%,--
ANTH,Anthera Pharmac...,22,--,-0.72,--,20.47%,--
EMES,Emerge Energy S...,251,bmo,0.31,--,12.18%,--
ESV,Ensco Plc,"3,199",--,-0.27,--,8.33%,--
RP,"Realpage, Inc.","4,057",--,0.26,--,7.69%,--
FRAC,"Keane Group, In...","1,775",amc,0.28,--,5.62%,--
EHTH,"Ehealth, Inc.",301,--,-1.14,--,5.10%,--
DRH,Diamondrock Hos...,"2,298",amc,0.23,--,4.76%,--
RSPP,"Rsp Permian, In...","6,074",--,0.31,--,3.56%,--
HSII,Heidrick & Stru...,488,amc,0.32,--,3.17%,--
WDAY,"Workday, Inc.","24,673",--,0.2,--,2.58%,--
PDCE,"Pdc Energy, Inc...","3,312",amc,0.17,--,1.96%,--
GMED,"Globus Medical,...","4,399",--,0.35,--,1.56%,--
AIMC,Altra Industria...,"1,459",--,0.49,--,1.03%,--
PANW,Palo Alto Netwo...,"14,259",amc,0.79,--,0.84%,--
TRTX,Tpg Re Finance...,"1,119",amc,0.4,--,0.84%,--
BWXT,Bwx Technologie...,"6,338",--,0.48,--,0.72%,--
EHC,Encompass Healt...,"5,086",amc,0.66,--,0.57%,--
PCLN,The Priceline G...,"90,668",--,14.12,--,0.55%,--
MEDP,Medpace Holding...,"1,352",--,0.39,--,0.43%,--
JBT,John Bean Techn...,"3,597",--,1.08,--,-0.32%,--
APTS,Preferred Apart...,608,--,0.35,--,-0.48%,--
HYH,"Halyard Health,...","2,263",--,0.49,--,-0.51%,--
TBPH,Theravance Biop...,"1,335",--,-1.15,--,-0.87%,--
NSA,National Storag...,"1,218",bmo,0.31,--,-1.36%,--
TWOU,"2u, Inc.","3,786",amc,0.13,--,-1.52%,--
RVNC,Revance Therape...,"1,127",--,-0.98,--,-2.71%,--
OKE,"Oneok, Inc.","23,705",amc,0.51,--,-2.93%,--
THC,Tenet Healthcar...,"1,843",amc,1.3,--,-3.71%,--
DF,Dean Foods Comp...,902,bmo,0.26,--,-3.85%,--
FRGI,Fiesta Restaura...,497,amc,0.13,--,-4.00%,--
TCMD,Tactile Systems...,563,amc,0.14,--,-4.88%,--
CLGX,"Corelogic, Inc....","3,797",amc,0.51,--,-5.52%,--
WBT,Manitowoc Food...,"3,082",bmo,0.25,--,-6.00%,--
IBP,Installed Build...,"2,128",--,0.62,--,-6.45%,--
AMSF,"Amerisafe, Inc....","1,174",amc,0.83,--,-6.86%,--
CRD.B,Crawford & Comp...,526,--,0.18,--,-7.27%,--
AXDX,Accelerate Diag...,"1,582",--,-0.33,--,-10.77%,--
SBAC,Sba Communicati...,"20,359",amc,0.18,--,-11.11%,--
CPK,Chesapeake Util...,"1,184",--,0.85,--,-14.12%,--
SNH,Senior Housing...,"3,983",--,0.37,--,-15.54%,--
BCRX,Biocryst Pharma...,428,--,-0.14,--,-18.36%,--
HTZ,Hertz Global Ho...,"1,864",--,-0.58,--,-18.97%,--
RNN,Rexahn Pharmace...,64,--,-0.14,--,-39.02%,--
KTOS,Kratos Defense...,"1,172",--,0.07,--,-39.39%,--
VST,Vistra Energy C...,"8,204",bmo,0.03,--,-60.00%,--
AAC,"Aac Holdings, I...",195,--,0.04,--,NA,--
AFSI,Amtrust Financi...,"2,519",--,0.24,--,NA,--
AMSSY,Ams Ag Unsponso...,NA,--,0.71,--,NA,--
AMWD,American Woodma...,"2,268",--,0.89,--,NA,--
AWI,Armstrong World...,"3,324",--,0.66,--,NA,--
AY,Atlantica Yield...,"2,071",--,-0.19,--,NA,--
BEL,Belmond Ltd.,"1,254",amc,-0.05,--,NA,--
BID,Sotheby's,"2,749",--,1.4,--,NA,--
BSM,Black Stone Min...,"1,830",--,0.17,--,NA,--
CCU,Compania Cervec...,"5,393",--,0.45,--,NA,--
CLDT,Chatham Lodging...,980,bmo,0.38,--,NA,--
CRC,California Reso...,885,amc,-0.85,--,NA,--
DK,Delek Us Holdin...,"2,688",amc,0.4,--,NA,--
DKL,Delek Logistics...,758,amc,0.6,--,NA,--
EVGN,Evogene Ltd.,93,--,-0.18,--,NA,--
FLGT,Fulgent Genetic...,80,--,-0.02,--,NA,--
GNL,Global Net Leas...,"1,180",--,0.51,--,NA,--
HHC,Howard Hughes C...,"5,351",amc,0.27,--,NA,--
IPWR,Ideal Power Inc...,17,--,-0.17,--,NA,--
JKS,Jinkosolar Hold...,699,--,0.23,--,NA,--
KND,Kindred Healthc...,828,--,0.2,--,NA,--
KNSL,Kinsale Capital...,"1,000",amc,0.39,--,NA,--
KOS,Kosmos Energy L...,"2,593",bmo,-0.06,--,NA,--
KRA,Kraton Corporat...,"1,504",--,0.79,--,NA,--
LUK,Leucadia Nation...,"9,366",--,0.47,--,NA,--
MDCA,Mdc Partners In...,516,--,0.21,--,NA,--
MESO,Mesoblast Limit...,508,--,-0.19,--,NA,--
MHLD,Maiden Holdings...,588,--,0.19,--,NA,--
NGHC,National Genera...,"2,099",--,0.21,--,NA,--
NTRI,Nutrisystem Inc...,"1,299",--,0.41,--,NA,--
NVAX,"Novavax, Inc.",646,--,-0.15,--,NA,--
OCX,Oncocyte Corpor...,124,--,-0.13,--,NA,--
OFIX,Orthofix Intern...,"1,043",--,0.5,--,NA,--
OPTN,"Optinose, Inc.",696,--,-0.46,--,NA,--
RAIL,Freightcar Amer...,188,--,-0.35,--,NA,--
RTTR,Ritter Pharmace...,16,--,-0.05,--,NA,--
SNHY,Sun Hydraulics...,"1,530",amc,0.26,--,NA,--
SWX,Southwest Gas C...,"3,447",--,1.5,--,NA,--
SYKE,Sykes Enterpris...,"1,304",amc,0.4,--,NA,--
TCP,"Tc Pipelines, L...","3,676",--,0.78,--,NA,--
VET,Vermilion Energ...,"4,459",--,0.16,--,NA,--
VTVT,Vtv Therapeutic...,243,--,-0.42,--,NA,--
WHLR,Wheeler Real Es...,46,--,0.37,--,NA,--
ZTO,Zto Express Inc...,"7,892",--,0.24,--,NA,--
BCC,"Boise Cascade,...","1,668",--,0.29,--,15.79%,--
GLPG,Galapagos Nv,"6,011",--,-0.71,--,8.02%,--
CLMT,Calumet Special...,564,--,-0.55,--,4.88%,--
ETR,Entergy Corpora...,"13,695",bmo,0.42,--,4.27%,--
HUN,Huntsman Corpor...,"7,791",bmo,0.65,--,3.27%,--
DFRG,Del Frisco's Re...,373,--,0.43,--,2.92%,--
RY,Royal Bank Of C...,"121,099",--,1.54,--,0.65%,--
LPNT,Lifepoint Healt...,"1,916",bmo,0.81,--,-0.80%,--
PEG,Public Service...,"25,322",bmo,0.56,--,-1.08%,--
COG,Cabot Oil & Gas...,"11,651",bmo,0.11,--,-2.19%,--
RHP,Ryman Hospitali...,"3,750",bmo,1.61,--,-3.54%,--
VNTR,Venator Materia...,"2,234",bmo,0.66,--,-10.61%,--
RLGY,Realogy Holding...,"3,581",--,0.24,--,-11.89%,--
PNW,Pinnacle West C...,"8,685",bmo,0.1,--,-12.20%,--
SSP,E.w. Scripps Co...,"1,287",--,0.05,--,-40.00%,--
USM,United States C...,"3,038",--,-0.08,--,-56.52%,--
ADMA,Adma Biologics...,96,--,-0.51,--,NA,--
ARII,American Railca...,729,--,0.48,--,NA,--
ASIX,Advansix Inc.,"1,168",bmo,0.5,--,NA,--
BASFY,Basf Se,"102,982",--,0.43,--,NA,--
BRK.B,Berkshire Hatha...,"515,938",--,1.77,--,NA,--
CBD,Companhia Brasi...,"5,974",--,0.3,--,NA,--
CCC,Calgon Carbon C...,"1,082",--,0.14,--,NA,--
DGICA,"Donegal Group,...",471,bmo,0.39,--,NA,--
ECC,Eagle Point Cre...,337,--,0.45,--,NA,--
ERF,Enerplus Corpor...,"2,644",bmo,0.13,--,NA,--
HMSY,Hms Holdings Co...,"1,370",--,0.22,--,NA,--
ICAGY,International C...,"7,238",--,0.57,--,NA,--
KBR,"Kbr, Inc.","2,741",--,0.3,--,NA,--
KOF,Coca Cola Femsa...,"15,980",--,0.98,--,NA,--
MTLS,Materialise Nv,594,--,0.02,--,NA,--
NWN,Northwest Natur...,"1,638",bmo,0.97,--,NA,--
RAS,Rait Financial...,45,--,0.01,--,NA,--
SATS,Echostar Corpor...,"5,861",--,0.11,--,NA,--
