"Symbol","Company","Market Cap(M)","Time","Estimate","Reported","ESP","Price Change","Report"
"ETE","Energy Transfer...","18,864","amc","0.31","--","100.93%","--",""
"SUN","Sunoco Lp","3,644","amc","0.32","--","44.34%","--",""
"ALKS","Alkermes Plc","9,752","--","0.21","--","34.12%","--",""
"MB","Mindbody, Inc.","1,574","amc","0.01","--","33.33%","--",""
"QEP","Qep Resources,...","2,147","amc","-0.06","--","26.50%","--",""
"TIVO","Tivo Corporatio...","1,751","--","0.39","--","15.38%","--",""
"DLPH","Delphi Technolo...","4,827","bmo","1.15","--","13.04%","--",""
"EVBG","Everbridge, Inc...","913","amc","-0.02","--","12.50%","--",""
"RUTH","Ruth's Hospital...","744","bmo","0.39","--","11.69%","--",""
"WLL","Whiting Petrole...","2,445","amc","-0.34","--","11.44%","--",""
"INN","Summit Hotel Pr...","1,585","amc","0.29","--","11.11%","--",""
"CSLT","Castlight Healt...","488","amc","-0.04","--","7.69%","--",""
"CPA","Copa Holdings,...","5,912","amc","2.37","--","5.49%","--",""
"WPX","Wpx Energy, Inc...","5,757","amc","-0.09","--","4.22%","--",""
"CLR","Continental Res...","20,164","amc","0.26","--","3.79%","--",""
"PODD","Insulet Corpora...","4,413","amc","-0.08","--","3.70%","--",""
"JELD","Jeld-wen Holdin...","4,543","bmo","0.41","--","3.52%","--",""
"LPI","Laredo Petroleu...","2,192","--","0.18","--","2.91%","--",""
"KALU","Kaiser Aluminum...","1,802","amc","1.22","--","2.74%","--",""
"COTV","Cotiviti Holdin...","3,162","amc","0.43","--","2.11%","--",""
"LNG","Cheniere Energy...","13,312","bmo","0.36","--","1.96%","--",""
"VG","Vonage Holdings...","2,470","bmo","0.09","--","1.79%","--",""
"EVTC","Evertec, Inc.","1,111","amc","0.23","--","1.44%","--",""
"SRCL","Stericycle, Inc...","6,265","amc","1.13","--","1.44%","--",""
"WEX","Wex Inc.","6,421","bmo","1.45","--","1.30%","--",""
"NE","Noble Corporati...","1,115","amc","-0.33","--","1.24%","--",""
"CW","Curtiss-wright...","5,686","amc","1.46","--","0.94%","--",""
"MTDR","Matador Resourc...","3,381","amc","0.21","--","0.61%","--",""
"AMAT","Applied Materia...","53,305","--","0.97","--","0.57%","--",""
"CONE","Cyrusone Inc","5,202","amc","0.81","--","0.56%","--",""
"ANSS","Ansys, Inc.","13,602","amc","1.03","--","0.55%","--",""
"WRI","Weingarten Real...","3,601","amc","0.61","--","0.34%","--",""
"OGS","One Gas, Inc.","3,621","amc","0.84","--","0.30%","--",""
"LSI","Life Storage, I...","3,750","amc","1.31","--","0.29%","--",""
"SO","Southern Compan...","44,330","bmo","0.46","--","0.18%","--",""
"CAKE","The Cheesecake...","2,259","amc","0.53","--","0.17%","--",""
"GRMN","Garmin Ltd.","11,702","bmo","0.75","--","0.17%","--",""
"HST","Host Hotels & R...","14,883","amc","0.39","--","0.08%","--",""
"PRAH","Pra Health Scie...","5,663","amc","1.03","--","-0.03%","--",""
"VMI","Valmont Industr...","3,615","amc","1.68","--","-0.24%","--",""
"HTA","Healthcare Trus...","5,597","--","0.42","--","-0.53%","--",""
"AAOI","Applied Optoele...","636","amc","0.82","--","-0.58%","--",""
"PE","Parsley Energy,...","7,272","amc","0.18","--","-0.60%","--",""
"WEN","Wendy's Company...","3,844","amc","0.12","--","-0.61%","--",""
"HAWK","Blackhawk Netwo...","2,562","--","1.27","--","-0.69%","--",""
"GXP","Great Plains En...","6,507","amc","0.13","--","-1.04%","--",""
"ROIC","Retail Opportun...","1,937","amc","0.29","--","-1.14%","--",""
"TYL","Tyler Technolog...","7,383","amc","1.04","--","-1.20%","--",""
"SLCA","U.s. Silica Hol...","2,602","bmo","0.55","--","-1.22%","--",""
"BMA","Macro Bank Inc....","6,640","--","2.27","--","-1.32%","--",""
"AKR","Acadia Realty T...","1,925","amc","0.33","--","-1.52%","--",""
"OC","Owens Corning I...","9,887","bmo","1.03","--","-1.90%","--",""
"MANT","Mantech Interna...","1,998","amc","0.39","--","-1.94%","--",""
"SNPS","Synopsys, Inc.","13,408","--","1.00","--","-2.00%","--",""
"CVG","Convergys Corpo...","2,114","amc","0.45","--","-2.76%","--",""
"CHUBA","Commercehub, In...","853","--","0.25","--","-3.03%","--",""
"HT","Hersha Hospital...","753","amc","0.43","--","-3.08%","--",""
"PRA","Proassurance Co...","2,892","amc","0.62","--","-3.23%","--",""
"FTI","Fmc Technologie...","15,248","amc","0.44","--","-4.39%","--",""
"HFC","Hollyfrontier C...","8,225","bmo","0.86","--","-4.65%","--",""
"OIS","Oil States Inte...","1,584","--","-0.23","--","-4.92%","--",""
"ETP","Sunoco Logistic...","22,174","amc","0.28","--","-5.45%","--",""
"DOOR","Masonite Intern...","2,031","amc","0.84","--","-5.77%","--",""
"O","Realty Income C...","14,441","amc","0.65","--","-6.78%","--",""
"SM","Sm Energy Compa...","2,573","amc","-0.14","--","-7.53%","--",""
"ANIK","Anika Therapeut...","947","--","0.41","--","-9.76%","--",""
"BPI","Bridgepoint Edu...","222","amc","-0.13","--","-20.00%","--",""
"CF","Cf Industries H...","9,309","--","-0.11","--","-41.18%","--",""
"CAR","Avis Budget Gro...","3,552","amc","0.20","--","-45.68%","--",""
"AXTI","Axt Inc","307","amc","0.08","--","NA","--",""
"AYX","Alteryx, Inc.","1,609","amc","-0.03","--","NA","--",""
"BAND","Bandwidth Inc.","397","amc","0.00","--","NA","--",""
"CRY","Cryolife, Inc.","611","--","0.09","--","NA","--",""
"CSV","Carriage Servic...","423","--","0.39","--","NA","--",""
"ELGX","Endologix, Inc....","348","amc","-0.22","--","NA","--",""
"ESRT","Empire State Re...","3,017","amc","0.25","--","NA","--",""
"FIVN","Five9, Inc.","1,403","amc","0.04","--","NA","--",""
"HBM","Hudbay Minerals...","2,155","amc","0.27","--","NA","--",""
"IAG","Iamgold Corpora...","2,609","amc","0.00","--","NA","--",""
"INVH","Invitation Home...","6,872","amc","0.27","--","NA","--",""
"IPAS","Ipass Inc.","36","amc","-0.06","--","NA","--",""
"JMP","Jmp Group Llc","115","--","0.06","--","NA","--",""
