Watchlist '0.4 ETF Pool'

0.4 ETF Pool
Symbol,FTtrend,Last,Market Cap,VolumeAvg,Impl Vol,IV_Percentile,FisherTransform,Bid,Ask
DIA,-1.0,235.33,"15,988 M",1.0006488E7,36.20%,100.0,-1.5,235.32,235.35
IWM,-1.0,143.05,"31,271 M",1.8724134E7,34.88%,100.0,-2.01,143.05,143.06
QQQ,-1.0,151.10,"54,812 M",4.5264678E7,35.68%,100.0,-1.25,151.10,151.11
SPY,-1.0,254.57,"228,204 M",9.8048909E7,36.34%,83.73,-1.43,254.55,254.56
VIX,-1.0,36.16,0,0.0,188.93%,88.66,1.67,<empty>,<empty>
VXX,1.0,54.34,816 M,3.7018031E7,138.67%,86.71,2.24,54.35,54.36
GDXJ,-1.0,30.14,"4,044 M",6046695.0,40.77%,59.16,-3.56,30.13,30.14
IYR,-1.0,71.73,"3,031 M",5118771.0,28.54%,100.0,-1.78,71.72,71.73
KRE,-1.0,58.50,"3,601 M",6794090.0,36.64%,100.0,-1.09,58.49,58.50
OIH,-1.0,23.2864,"1,644 M",7433648.0,48.27%,100.0,-2.83,23.28,23.29
XBI,-1.0,83.04,"2,118 M",5327203.0,51.21%,100.0,-1.06,83.02,83.07
XHB,-1.0,40.25,"2,147 M",2192114.0,36.04%,100.0,-2.09,40.25,40.26
XLB,-1.0,56.80,"4,855 M",1.1376616E7,32.57%,100.0,-1.97,56.79,56.80
XLE,-1.0,65.10,"6,157 M",1.4495553E7,35.33%,100.0,-2.58,65.09,65.10
XLF,-1.0,26.915,"24,495 M",6.2831514E7,36.90%,100.0,-1.24,26.91,26.92
XLI,-1.0,71.87,"10,984 M",1.7352599E7,33.81%,100.0,-1.54,71.87,71.88
XLK,-1.0,61.51,"22,885 M",1.8711296E7,34.51%,100.0,-1.26,61.50,61.51
XLP,-1.0,53.05,"6,956 M",1.3838263E7,28.61%,100.0,-1.66,53.06,53.07
XLU,-1.0,47.95,"6,551 M",1.5229275E7,25.18%,100.0,-1.68,47.95,47.96
XLV,-1.0,79.96,"12,004 M",1.4549607E7,35.70%,100.0,-1.9,79.96,79.97
XLY,-1.0,97.56,"10,722 M",1.0251897E7,35.79%,100.0,-0.87,97.54,97.56
XME,-1.0,33.33,490 M,1218298.0,44.70%,66.22,-2.72,33.33,33.34
XOP,-1.0,31.24,391 M,1.5741862E7,48.51%,100.0,-3.15,31.24,31.25
XRT,-1.0,43.14,695 M,5330888.0,39.32%,100.0,-1.44,43.13,43.14
GLD,-1.0,124.85,"30,101 M",7900371.0,16.11%,94.06,-1.83,124.85,124.86
SLV,-1.0,15.31,"5,081 M",4028160.0,23.03%,85.71,-2.0,15.31,15.32
UNG,-1.0,21.83,532 M,3427431.0,34.16%,8.0,-2.11,21.83,21.84
FXE,-1.0,117.59,894 M,72247.0,10.43%,56.92,-0.46,117.58,117.60
IEF,1.0,102.6099,"7,911 M",1452937.0,7.07%,89.23,-2.05,102.59,102.60
LQD,-1.0,117.30,"35,249 M",4332408.0,8.44%,84.2,-3.27,117.30,117.31
TLT,-1.0,118.795,"6,759 M",6546682.0,15.80%,94.17,-2.74,118.79,118.81
DXJ,-1.0,55.28,"7,778 M",2610712.0,29.45%,100.0,-2.69,55.28,55.29
EEM,-1.0,45.31,"40,371 M",6.8972502E7,38.18%,100.0,-2.11,45.31,45.32
EFA,-1.0,67.315,"75,972 M",2.9541615E7,34.53%,100.0,-2.35,67.31,67.32
EWI,-1.0,31.04,710 M,952901.0,44.44%,89.36,-1.61,31.04,31.05
EWW,-1.0,48.97,"1,043 M",3439486.0,34.56%,100.0,-1.29,48.97,48.98
EWY,-1.0,68.77,"3,961 M",2626860.0,39.62%,100.0,-1.71,68.76,68.77
EWZ,-1.0,41.98,"7,962 M",1.3667425E7,45.28%,81.03,-0.82,41.98,41.99
FXI,-1.0,44.88,"4,006 M",2.5675387E7,37.88%,100.0,-2.09,44.88,44.89
RSX,-1.0,21.32,"1,992 M",7431667.0,32.24%,100.0,-2.36,21.32,21.32
NUGT,-1.0,21.9502,0,6864670.0,104.65%,29.11,-3.34,21.95,21.97
SPXU,1.0,12.84,524 M,2.599906E7,90.93%,100.0,1.36,12.83,12.84
TBT,1.0,38.33,"2,333 M",2588085.0,31.43%,100.0,2.52,38.32,38.34
UUP,1.0,23.6444,591 M,1035830.0,10.68%,85.22,0.58,23.64,23.65
