Watchlist '0.1 Prospects'

0.1 Prospects
Symbol,FTtrend,Last,Market Cap,VolumeAvg,Impl Vol,IV_Percentile,FisherTransform,Bid,Ask
AAOI,-1.0,31.40,609 M,810501.0,95.34%,64.19,-2.64,31.36,31.43
AAP,-1.0,105.32,"7,783 M",499258.0,63.78%,100.0,-1.45,105.32,105.54
AAWW,-1.0,51.25,"1,296 M",87836.0,57.13%,83.63,-2.91,51.20,51.35
ACC,-1.0,35.00,"4,775 M",454463.0,38.73%,90.63,-3.28,34.99,35.01
ACHC,-1.0,32.85,"2,886 M",245582.0,71.71%,95.1,0.73,32.82,32.87
ACIA,1.0,38.55,"1,518 M",88773.0,65.28%,67.45,1.96,38.44,38.53
ACIW,-1.0,20.65,"2,449 M",384242.0,44.20%,56.3,-0.78,20.57,20.62
ADC,-1.0,44.84,"1,390 M",75245.0,20.21%,15.29,-3.04,44.77,44.86
ADSW,-1.0,22.92,"2,028 M",36435.0,40.42%,100.0,-1.34,22.89,22.93
AGI,-1.0,5.15,"2,004 M",1064626.0,53.01%,44.64,-3.2,5.14,5.15
AGR,-1.0,46.71,"14,434 M",95656.0,24.22%,35.58,-0.89,46.63,46.70
AKR,-1.0,21.58,"1,806 M",148119.0,31.28%,30.65,-3.12,21.56,21.59
AL,-1.0,42.94,"4,433 M",246469.0,48.81%,100.0,-1.77,42.78,42.86
ALDR,1.0,13.05,885 M,474612.0,78.31%,28.21,-2.52,13.00,13.05
ALKS,-1.0,53.15,"8,173 M",222954.0,52.33%,80.48,-0.67,53.08,53.19
ALLE,-1.0,77.08,"7,326 M",390587.0,35.85%,67.45,-1.32,76.99,77.12
AMAT,-1.0,45.92,"48,378 M",7785006.0,53.91%,90.77,-2.51,45.93,45.95
AMH,-1.0,18.545,"5,318 M",1582981.0,27.01%,64.28,-1.54,18.54,18.55
ANSS,-1.0,148.08,"12,566 M",143486.0,45.97%,96.08,-1.19,147.85,148.12
ANTH,-1.0,1.5250,33 M,151539.0,++,79.62,-0.64,1.5200,1.5300
APA,-1.0,36.40,"13,866 M",2046935.0,55.43%,100.0,-3.0,36.36,36.40
APLE,-1.0,17.76,"3,962 M",564407.0,25.58%,44.24,-2.48,17.75,17.76
APLP,-1.0,12.18,855 M,259078.0,92.66%,100.0,-2.67,12.16,12.23
APTS,-1.0,14.66,566 M,191822.0,37.02%,24.32,-3.93,14.65,14.68
ASTE,1.0,58.80,"1,357 M",52056.0,33.53%,58.19,-2.51,58.70,58.81
AWK,-1.0,77.39,"13,804 M",546005.0,27.75%,82.4,-2.24,77.38,77.44
BCRX,1.0,4.65,458 M,493976.0,61.30%,13.53,-0.96,4.65,4.66
BIO,-1.0,232.32,"6,915 M",38304.0,42.39%,100.0,-1.46,231.86,232.38
BJRI,-1.0,36.65,756 M,121196.0,55.47%,85.53,-1.74,36.60,36.65
BMRN,-1.0,80.01,"14,051 M",758610.0,43.25%,64.07,-1.8,80.00,80.08
BNFT,-1.0,23.85,746 M,50437.0,52.83%,80.69,-2.33,23.80,23.85
BRC,1.0,36.20,"1,866 M",72497.0,43.00%,58.62,-2.11,36.15,36.25
BWXT,-1.0,59.50,"5,915 M",181830.0,28.91%,47.42,-0.62,59.45,59.54
CAKE,-1.0,44.08,"2,018 M",621420.0,50.30%,93.73,-1.0,44.08,44.15
CAR,-1.0,39.27,"3,197 M",897084.0,70.77%,94.98,-1.31,39.23,39.29
CATM,-1.0,22.48,"1,027 M",227744.0,113.79%,100.0,0.74,22.47,22.53
CBPX,-1.0,25.85,975 M,94206.0,46.72%,73.96,-2.16,25.80,25.85
CENX,-1.0,20.53,"1,793 M",653532.0,90.02%,87.91,-1.48,20.50,20.54
CEQP,-1.0,25.35,"1,782 M",216011.0,36.05%,47.47,-1.11,25.30,25.35
CF,-1.0,36.65,"8,549 M",1206730.0,56.04%,68.18,-0.92,36.64,36.69
CHH,-1.0,76.85,"4,349 M",62623.0,48.22%,100.0,-0.85,76.65,76.75
CHK,-1.0,2.6315,"2,391 M",2.7411974E7,111.23%,87.69,-4.47,2.6300,2.6400
CLMT,-1.0,7.05,541 M,179886.0,53.66%,37.3,-3.2,7.00,7.10
CLR,-1.0,47.49,"17,819 M",1345212.0,53.24%,100.0,-1.89,47.49,47.53
CM,-1.0,89.74,"39,435 M",182427.0,28.28%,89.39,-1.46,89.72,89.75
CNK,-1.0,36.69,"4,273 M",499405.0,38.91%,46.16,0.88,36.66,36.70
CNP,-1.0,26.15,"11,272 M",1037000.0,23.99%,81.33,-1.93,26.15,26.16
COG,-1.0,22.95,"10,615 M",3550045.0,43.12%,80.42,-4.07,22.95,22.96
CONE,-1.0,52.29,"4,775 M",527978.0,40.44%,41.06,-1.02,52.23,52.28
COTV,-1.0,31.55,"2,914 M",100045.0,51.59%,50.81,-1.56,31.55,31.58
CPA,-1.0,124.11,"5,228 M",79805.0,45.70%,96.12,-1.28,123.61,124.12
CPK,-1.0,69.40,"1,134 M",12343.0,32.11%,57.68,-1.5,69.25,69.40
CRI,-1.0,115.05,"5,445 M",263399.0,42.88%,100.0,-1.01,114.93,115.14
CRK,-1.0,7.10,110 M,135323.0,94.73%,45.97,-1.54,7.07,7.09
CRMT,1.0,45.05,322 M,4692.0,147.12%,89.25,-1.64,44.55,45.20
CRZO,-1.0,17.55,"1,430 M",1309534.0,78.97%,100.0,-3.39,17.54,17.56
CSLT,-1.0,3.30,441 M,117600.0,<empty>,47.96,-2.59,3.25,3.35
CVG,-1.0,21.43,"1,980 M",192588.0,41.67%,81.83,-0.84,21.42,21.44
CW,-1.0,116.46,"5,139 M",62952.0,36.46%,87.24,-1.96,116.07,116.51
CXO,-1.0,135.89,"20,206 M",776570.0,42.71%,100.0,-1.96,135.64,135.93
