A,20180214,10,2016089,0.58,21012.32,YES,1.2,3
AA,20180423,6,4791743,1.23,8515.53,YES,0,3
AAAP,20180322,1,102651.2,-0.33,3584.04,YES,,4
AABA,20180212,6,7305603,0.16,60394.09,YES,,
AAC,20180221,2,109191.75,0.04,191.27,YES,,3
AACAY,20180328,1,2886.85,2.36,21979.5,NO,0,2
AAGIY,20180227,,281876.75,,94090.85,NO,,
AAIR,,,2411.35,,0.04,NO,,
AAL,20180426,9,5673999,0.92,23255.06,YES,0,2
AAME,20180321,,2633,,63.36,NO,,
AAN,20180215,7,642378.56,0.54,2722.18,YES,1.05,2
AAOI,20180221,7,1142169.25,0.82,621.2,YES,-0.78,4
AAON,20180222,1,170631.2,0.24,1734.08,YES,,3
AAP,20180221,10,1298351.63,0.65,8101.44,YES,-1.47,2
AAPJ,,,2045,,0.52,NO,,
AAPL,20180501,9,42719812,3.82,787233.13,YES,0,3
AASP,20180416,,1443,,3.11,NO,,
AAT,20180213,4,191256.5,0.54,1509.97,YES,0.31,5
AATDF,,,33376.5,,1105.56,NO,,3
AAU,20180404,,249850.75,,89.18,YES,,
AAV,20180301,1,387051.94,0.04,548.59,YES,0,4
AAWW,20180222,4,241851.55,2.08,1308.4,YES,2.16,2
AAXN,20180227,3,520105.34,-0.03,1339.75,YES,,3
AB,20180213,2,256793.2,0.66,2303.21,YES,3.03,3
ABAC,20180313,,8058.1,,21.44,NO,,
ABAX,20180426,4,302885.84,0.28,1426.28,YES,0,3
ABB,20180419,2,2067072.63,0.25,52664.32,YES,,3
ABBV,20180426,8,8287299,1.44,173180.72,YES,0,2
ABC,20180503,9,1913077.63,1.35,20110.7,YES,0.09,2
ABCB,20180420,3,180128.16,0.63,1921.12,YES,0,2
ABCD,20180313,,119586.35,,322.02,NO,,
ABCE,20180219,,1253884.75,,0.42,NO,,
ABCP,20180329,,7573.55,,12.63,NO,,
ABCZY,,,970.45,,3596.09,NO,,3
ABDC,20180308,4,81898.45,0.25,106.13,YES,5.88,
ABE,,,9606.25,,137.63,NO,,
ABEO,20180330,3,1061002.5,-0.13,727.35,YES,-20,3
ABEV,20180301,1,19676644,0.1,101429.12,YES,0,3
ABG,20180426,7,210708.3,1.6,1410.4,YES,7.41,1
ABHD,20180330,,11090.85,,7.27,NO,,
ABIL,20180515,,233109.25,,10.17,NO,,
ABIO,20180320,,369643.19,,18.8,NO,,
ABLYF,20180222,1,2670.3,-0.21,4053.56,NO,0,4
ABM,20180306,1,496304.81,0.32,2265.12,YES,0,2
ABMC,20180330,,1765.15,,3.22,NO,,
ABMD,20180503,7,423375.59,0.5,10161.76,YES,1.78,3
ABNK,20180424,,11762.56,,87.66,NO,,
ABR,20180302,1,448242.34,0.2,494.86,YES,,3
ABT,20180418,10,8381365.5,0.73,97943.62,YES,0,3
ABTX,20180424,1,34936.15,0.53,505.27,NO,0,2
ABUS,20180320,4,142482.45,-0.38,289.02,YES,-5.26,4
ABX,20180214,7,12771589,0.21,15429.66,YES,0.47,3
AC,20180214,,13379.25,,815.28,NO,,
ACAD,20180227,6,1886661.63,-0.58,3521.23,YES,-3.75,4
ACBC,,,27598.3,,0.08,NO,,
ACBFF,,,4616112,,3284.67,NO,,
